epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1536.05,1.00466,0.68379,0.96928,0.74376,0.66512,0.72881,0.47169,0.98711,0.65434,0.9686,0.000676313,0.000676313,0.000676313
21,1609.46,0.99659,0.67081,0.96604,0.7434,0.67749,0.7304,0.48067,0.9751,0.63752,0.95998,0.000668066,0.000668066,0.000668066
22,1683.35,0.98254,0.66188,0.95987,0.77553,0.67734,0.74662,0.49406,0.96404,0.63455,0.96222,0.000659819,0.000659819,0.000659819
23,1757.37,0.97993,0.65655,0.96124,0.81231,0.66461,0.75556,0.50567,0.95532,0.62638,0.9556,0.000651573,0.000651573,0.000651573
24,1830.97,0.97363,0.64885,0.95947,0.7903,0.67286,0.7661,0.5091,0.95128,0.62164,0.95533,0.000643326,0.000643326,0.000643326
25,1904.94,0.95973,0.63854,0.9561,0.7961,0.68344,0.76374,0.50743,0.94341,0.61629,0.95331,0.000635079,0.000635079,0.000635079
26,1980.39,0.95821,0.63371,0.95398,0.8045,0.70613,0.77658,0.51962,0.94326,0.60024,0.95096,0.000626832,0.000626832,0.000626832
27,2054.41,0.95242,0.6273,0.95053,0.79367,0.70519,0.78087,0.51621,0.93637,0.60843,0.95183,0.000618586,0.000618586,0.000618586
28,2127.8,0.93848,0.62332,0.94694,0.81992,0.69308,0.77089,0.52244,0.92155,0.59655,0.93887,0.000610339,0.000610339,0.000610339
29,2201.87,0.94577,0.62095,0.94535,0.81518,0.70917,0.7841,0.52607,0.91908,0.58919,0.94001,0.000602092,0.000602092,0.000602092
30,2275.79,0.93647,0.61277,0.94554,0.77955,0.71835,0.78507,0.52599,0.91113,0.58058,0.93675,0.000593846,0.000593846,0.000593846
31,2349.65,0.93265,0.61252,0.94512,0.83046,0.6857,0.7931,0.53826,0.90645,0.57553,0.9373,0.000585599,0.000585599,0.000585599
32,2423.75,0.92049,0.60381,0.93963,0.78976,0.71797,0.79622,0.54321,0.90363,0.56745,0.93495,0.000577352,0.000577352,0.000577352
33,2497.69,0.91713,0.59795,0.93821,0.83798,0.71247,0.80492,0.54634,0.9026,0.56727,0.93961,0.000569106,0.000569106,0.000569106
34,2571.92,0.91538,0.59552,0.93671,0.83244,0.71972,0.79955,0.54762,0.893,0.56822,0.93327,0.000560859,0.000560859,0.000560859
35,2646.07,0.90505,0.5848,0.93248,0.83307,0.69714,0.81047,0.55636,0.88406,0.55452,0.9334,0.000552612,0.000552612,0.000552612
36,2720.72,0.90387,0.59006,0.93341,0.81529,0.73979,0.821,0.5673,0.87919,0.54789,0.92655,0.000544365,0.000544365,0.000544365
37,2796.05,0.89695,0.5809,0.93262,0.87368,0.71578,0.81285,0.55827,0.88055,0.55036,0.92937,0.000536119,0.000536119,0.000536119
38,2869.47,0.89441,0.57902,0.93226,0.81083,0.7396,0.81192,0.56498,0.87085,0.54915,0.92655,0.000527872,0.000527872,0.000527872
39,2943.43,0.88992,0.57516,0.92997,0.8585,0.73091,0.82786,0.57243,0.86659,0.54159,0.92558,0.000519625,0.000519625,0.000519625
40,3017.26,0.88593,0.5751,0.92955,0.84015,0.75744,0.83363,0.57353,0.86568,0.53773,0.92633,0.000511379,0.000511379,0.000511379
41,3092.35,0.88095,0.57054,0.92851,0.85394,0.74432,0.82631,0.57937,0.85993,0.53628,0.92129,0.000503132,0.000503132,0.000503132
42,3165.79,0.877,0.56544,0.92396,0.82823,0.75217,0.82699,0.57585,0.85847,0.5334,0.91902,0.000494885,0.000494885,0.000494885
43,3239.41,0.87245,0.56137,0.92494,0.85775,0.75875,0.84187,0.58449,0.8509,0.5275,0.91745,0.000486639,0.000486639,0.000486639
44,3315.15,0.86849,0.56011,0.92138,0.84181,0.74889,0.83744,0.58362,0.844,0.52285,0.91646,0.000478392,0.000478392,0.000478392
45,3390.52,0.86368,0.55545,0.92059,0.85502,0.76295,0.83914,0.58454,0.84255,0.52369,0.91562,0.000470145,0.000470145,0.000470145
46,3464.3,0.85813,0.5498,0.91741,0.86308,0.7532,0.84399,0.58754,0.8428,0.5187,0.91789,0.000461898,0.000461898,0.000461898
47,3539.07,0.85886,0.55054,0.91987,0.83692,0.75928,0.8404,0.59476,0.82671,0.51401,0.91179,0.000453652,0.000453652,0.000453652
48,3613.16,0.85481,0.54441,0.91666,0.84748,0.75613,0.84502,0.60107,0.82389,0.51573,0.90876,0.000445405,0.000445405,0.000445405
49,3687.39,0.85017,0.54237,0.91463,0.86972,0.76875,0.8523,0.59818,0.82814,0.50831,0.90981,0.000437158,0.000437158,0.000437158
50,3761.39,0.84083,0.53544,0.91303,0.83273,0.79111,0.85256,0.60591,0.81995,0.50695,0.90665,0.000428912,0.000428912,0.000428912
51,3835.92,0.83349,0.5346,0.91043,0.84173,0.77924,0.85318,0.60602,0.81744,0.50516,0.90508,0.000420665,0.000420665,0.000420665
52,3912.18,0.83813,0.53369,0.91458,0.83514,0.7799,0.86206,0.60615,0.82076,0.50439,0.908,0.000412418,0.000412418,0.000412418
53,3987.04,0.8295,0.52687,0.90849,0.90469,0.7505,0.86634,0.61301,0.81,0.49555,0.90489,0.000404172,0.000404172,0.000404172
54,4061.13,0.82879,0.52972,0.90917,0.84892,0.76846,0.85769,0.60913,0.80835,0.49521,0.90432,0.000395925,0.000395925,0.000395925
55,4135.04,0.82269,0.52632,0.90951,0.86799,0.76099,0.85437,0.60984,0.80932,0.49365,0.90015,0.000387678,0.000387678,0.000387678
56,4209.04,0.81762,0.52566,0.90615,0.86136,0.77521,0.86358,0.61286,0.805,0.49485,0.90094,0.000379431,0.000379431,0.000379431
57,4283.23,0.82077,0.52229,0.90719,0.8901,0.7626,0.86658,0.61884,0.80172,0.48965,0.90058,0.000371185,0.000371185,0.000371185
58,4357.38,0.8139,0.51751,0.90561,0.8842,0.797,0.87273,0.62115,0.80068,0.49012,0.89904,0.000362938,0.000362938,0.000362938
59,4431.03,0.80794,0.51401,0.90302,0.89228,0.76959,0.86781,0.61897,0.80078,0.4894,0.90092,0.000354691,0.000354691,0.000354691
60,4504.71,0.80244,0.51174,0.90319,0.86502,0.7953,0.8707,0.62078,0.79535,0.48713,0.8989,0.000346445,0.000346445,0.000346445
61,4579,0.80111,0.51239,0.89961,0.86776,0.79221,0.86858,0.62475,0.7905,0.48222,0.89476,0.000338198,0.000338198,0.000338198
62,4652.89,0.79595,0.50448,0.8981,0.86102,0.82289,0.88003,0.62571,0.79327,0.48478,0.8925,0.000329951,0.000329951,0.000329951
63,4727.05,0.79724,0.50528,0.89836,0.87038,0.78878,0.87111,0.62958,0.78869,0.48248,0.89344,0.000321705,0.000321705,0.000321705
64,4800.9,0.79296,0.50326,0.89923,0.86879,0.78361,0.86996,0.63192,0.7846,0.48116,0.89195,0.000313458,0.000313458,0.000313458
65,4874.77,0.7875,0.49997,0.89658,0.86684,0.80438,0.87185,0.62703,0.78563,0.47709,0.89467,0.000305211,0.000305211,0.000305211
66,4948.28,0.79198,0.50304,0.8984,0.88214,0.79859,0.87539,0.63191,0.77934,0.47704,0.89114,0.000296964,0.000296964,0.000296964
67,5022.29,0.78026,0.49709,0.8939,0.86283,0.80143,0.87364,0.6296,0.78066,0.4735,0.88963,0.000288718,0.000288718,0.000288718
68,5096.49,0.77848,0.49153,0.89401,0.88095,0.80011,0.87711,0.63503,0.77553,0.47305,0.88929,0.000280471,0.000280471,0.000280471
69,5170.46,0.77724,0.49421,0.89414,0.89244,0.79051,0.87816,0.63909,0.77382,0.46907,0.88871,0.000272224,0.000272224,0.000272224
70,5244.56,0.77235,0.48829,0.88996,0.88937,0.78991,0.87653,0.6391,0.7716,0.46916,0.88849,0.000263978,0.000263978,0.000263978
71,5318.78,0.77044,0.48672,0.8922,0.87725,0.79553,0.87542,0.63682,0.77065,0.46656,0.8902,0.000255731,0.000255731,0.000255731
72,5392.66,0.77283,0.4884,0.89044,0.85359,0.81465,0.88001,0.63918,0.77242,0.4676,0.89023,0.000247484,0.000247484,0.000247484
73,5466.41,0.76575,0.48733,0.89023,0.84294,0.8219,0.87558,0.64005,0.76679,0.46216,0.88619,0.000239238,0.000239238,0.000239238
74,5540.41,0.7619,0.48068,0.88864,0.87929,0.80907,0.87566,0.6395,0.76568,0.46265,0.88661,0.000230991,0.000230991,0.000230991
75,5614.53,0.75445,0.47979,0.88636,0.86958,0.82308,0.88074,0.64385,0.76465,0.46251,0.88499,0.000222744,0.000222744,0.000222744
76,5688.82,0.76093,0.48088,0.88904,0.84575,0.83307,0.88234,0.64769,0.76145,0.46108,0.8851,0.000214497,0.000214497,0.000214497
77,5762.88,0.75574,0.47805,0.88676,0.87633,0.79698,0.87996,0.6477,0.75893,0.4587,0.88246,0.000206251,0.000206251,0.000206251
78,5836.73,0.74916,0.47622,0.88672,0.89917,0.78541,0.8873,0.64769,0.75857,0.45695,0.88369,0.000198004,0.000198004,0.000198004
79,5910.54,0.74556,0.47009,0.88295,0.89051,0.79275,0.88604,0.64864,0.75742,0.45656,0.88249,0.000189757,0.000189757,0.000189757
80,5984.5,0.74686,0.47248,0.88499,0.85355,0.82259,0.88711,0.65231,0.75617,0.45483,0.8781,0.000181511,0.000181511,0.000181511
81,6058.4,0.7418,0.46896,0.88193,0.86884,0.8281,0.88984,0.65508,0.75582,0.45317,0.88035,0.000173264,0.000173264,0.000173264
82,6132.5,0.73269,0.46443,0.88116,0.89352,0.80914,0.88934,0.65405,0.75297,0.4515,0.87929,0.000165017,0.000165017,0.000165017
83,6206.15,0.74153,0.4703,0.88298,0.89465,0.8005,0.88865,0.65159,0.75169,0.45153,0.87894,0.000156771,0.000156771,0.000156771
84,6280.34,0.7353,0.4642,0.88048,0.89157,0.81087,0.89032,0.6556,0.74908,0.4502,0.87739,0.000148524,0.000148524,0.000148524
85,6354.15,0.72833,0.46073,0.87994,0.88413,0.82013,0.89199,0.65555,0.74918,0.44955,0.87918,0.000140277,0.000140277,0.000140277
86,6427.89,0.73177,0.46276,0.88059,0.88812,0.82026,0.89325,0.65661,0.7492,0.45,0.87954,0.000132031,0.000132031,0.000132031
87,6502.08,0.72634,0.46069,0.87896,0.87248,0.82119,0.89313,0.65748,0.74709,0.44913,0.87831,0.000123784,0.000123784,0.000123784
88,6575.93,0.72006,0.45893,0.87609,0.88884,0.81259,0.89296,0.65681,0.74581,0.44716,0.87626,0.000115537,0.000115537,0.000115537
89,6649.73,0.7216,0.45805,0.87694,0.87968,0.82717,0.89553,0.65803,0.74494,0.44523,0.87658,0.00010729,0.00010729,0.00010729
90,6723.62,0.71877,0.45599,0.87714,0.87027,0.8248,0.89341,0.65955,0.74186,0.44504,0.87709,9.90437e-05,9.90437e-05,9.90437e-05
91,6798.59,0.6945,0.43055,0.86503,0.8661,0.82389,0.89066,0.65207,0.75062,0.44944,0.87886,9.0797e-05,9.0797e-05,9.0797e-05
92,6871.05,0.67626,0.41967,0.86074,0.86461,0.83173,0.88835,0.65475,0.74904,0.44822,0.87693,8.25503e-05,8.25503e-05,8.25503e-05
93,6943.63,0.6729,0.4199,0.85785,0.88257,0.81484,0.88925,0.65394,0.74771,0.4468,0.87615,7.43036e-05,7.43036e-05,7.43036e-05
94,7016.15,0.66233,0.41289,0.85904,0.8829,0.81709,0.88981,0.65626,0.74518,0.44489,0.87497,6.60569e-05,6.60569e-05,6.60569e-05
95,7088.47,0.66187,0.41154,0.85812,0.88774,0.81354,0.89086,0.65548,0.74245,0.4446,0.87401,5.78102e-05,5.78102e-05,5.78102e-05
96,7161.01,0.65608,0.4096,0.85581,0.88327,0.81742,0.89035,0.65634,0.74052,0.44404,0.87375,4.95635e-05,4.95635e-05,4.95635e-05
97,7233.35,0.65343,0.40752,0.85401,0.87717,0.81119,0.89022,0.65549,0.73916,0.44324,0.87411,4.13168e-05,4.13168e-05,4.13168e-05
98,7305.62,0.65235,0.40708,0.8544,0.87982,0.82284,0.8906,0.65836,0.73878,0.44305,0.8746,3.30701e-05,3.30701e-05,3.30701e-05
99,7378.03,0.64583,0.40298,0.85274,0.89014,0.8161,0.89117,0.65982,0.73876,0.44213,0.87449,2.48234e-05,2.48234e-05,2.48234e-05
100,7450.43,0.64859,0.40519,0.85301,0.88754,0.82408,0.89092,0.66008,0.73921,0.44157,0.87456,1.65767e-05,1.65767e-05,1.65767e-05
